interval_index,start_date,end_date,baseline_interval,pre_event_surveillance,earthquake_sequence_interval,maximum_cluster_mass,cluster_count,interval_max_cluster_fwer_p
0,2017-05-27,2017-06-08,True,False,False,0.0,0,
1,2017-06-08,2017-06-20,True,False,False,0.0,0,
2,2017-06-20,2017-07-02,True,False,False,0.0,0,
3,2017-07-02,2017-07-14,True,False,False,0.0,0,
4,2017-07-14,2017-07-26,True,False,False,0.0,0,
5,2017-07-26,2017-08-07,True,False,False,0.0,0,
6,2017-08-07,2017-08-19,True,False,False,0.0,0,
7,2017-08-19,2017-08-31,True,False,False,1.4492501546993526,2,
8,2017-08-31,2017-09-24,True,False,False,0.0,0,
9,2017-09-24,2017-10-06,True,False,False,0.0,0,
10,2017-10-06,2017-10-18,True,False,False,0.0,0,
11,2017-10-18,2017-10-30,True,False,False,0.0,0,
12,2017-10-30,2017-11-11,True,False,False,0.0,0,
13,2017-11-11,2017-11-23,True,False,False,0.0,0,
14,2017-11-23,2017-12-05,True,False,False,0.0,0,
15,2017-12-05,2017-12-17,True,False,False,0.0,0,
16,2017-12-17,2018-01-10,True,False,False,0.0,0,
17,2018-01-10,2018-01-22,True,False,False,0.0,0,
18,2018-01-22,2018-02-03,True,False,False,0.0,0,
19,2018-02-03,2018-02-27,True,False,False,0.0,0,
20,2018-02-27,2018-03-11,True,False,False,0.0,0,
21,2018-03-11,2018-03-23,True,False,False,0.0,0,
22,2018-03-23,2018-04-04,True,False,False,0.0,0,
23,2018-04-04,2018-04-16,True,False,False,0.0,0,
24,2018-04-16,2018-04-28,True,False,False,0.0,0,
25,2018-04-28,2018-05-10,True,False,False,0.0,0,
26,2018-05-10,2018-05-22,True,False,False,0.0,0,
27,2018-05-22,2018-06-03,True,False,False,1.5623693485668029,2,
28,2018-06-03,2018-06-15,True,False,False,0.0,0,
29,2018-06-15,2018-06-27,True,False,False,0.4154329220764106,1,
30,2018-06-27,2018-07-09,True,False,False,0.0,0,
31,2018-07-09,2018-07-21,True,False,False,1.0414290624581855,2,
32,2018-07-21,2018-08-02,True,False,False,0.0,0,
33,2018-08-02,2018-08-14,True,False,False,0.0,0,
34,2018-08-14,2018-08-26,True,False,False,0.0,0,
35,2018-08-26,2018-09-07,True,False,False,0.0,0,
36,2018-09-07,2018-09-19,True,False,False,0.0,0,
37,2018-09-19,2018-10-01,True,False,False,33.03776282995698,7,
38,2018-10-01,2018-10-13,True,False,False,17.777794634474265,4,
39,2018-10-13,2018-10-25,True,False,False,0.0,0,
40,2018-10-25,2018-11-06,True,False,False,0.0,0,
41,2018-11-06,2018-11-30,True,False,False,2.9797983875791205,2,
42,2018-11-30,2018-12-12,True,False,False,1.6538191626967746,3,
43,2018-12-12,2018-12-24,True,False,False,0.0,0,
44,2018-12-24,2019-01-05,True,False,False,0.0,0,
45,2019-01-05,2019-01-17,True,False,False,19.56354928128457,5,
46,2019-01-17,2019-01-29,True,False,False,9.617962104738538,4,
47,2019-01-29,2019-02-10,True,False,False,2.264445463355939,1,
48,2019-02-10,2019-02-22,True,False,False,1.3978676426974102,1,
49,2019-02-22,2019-03-06,True,False,False,3.802444725923272,3,
50,2019-03-06,2019-03-18,True,False,False,4.450455616304511,3,
51,2019-03-18,2019-03-30,True,False,False,0.0,0,
52,2019-03-30,2019-04-11,True,False,False,0.0,0,
53,2019-04-11,2019-04-23,True,False,False,0.0,0,
54,2019-04-23,2019-05-05,True,False,False,0.0,0,
55,2019-05-05,2019-05-17,True,False,False,0.0,0,
56,2019-05-17,2019-05-29,True,False,False,0.0,0,
57,2019-05-29,2019-06-10,False,True,False,0.0,0,1.0
58,2019-06-10,2019-06-22,False,True,False,0.0,0,1.0
59,2019-06-22,2019-07-04,False,True,False,0.0,0,1.0
60,2019-07-04,2019-07-16,False,False,True,16.348781163481256,5,0.06896551724137931
61,2019-07-16,2019-07-28,False,False,False,0.0,0,1.0
62,2019-07-28,2019-08-09,False,False,False,0.0,0,1.0
63,2019-08-09,2019-08-15,False,False,False,0.0,0,1.0
64,2019-08-15,2019-08-21,False,False,False,0.0,0,1.0
65,2019-08-21,2019-08-27,False,False,False,0.0,0,1.0
66,2019-08-27,2019-09-02,False,False,False,0.0,0,1.0
67,2019-09-02,2019-09-08,False,False,False,0.0,0,1.0
68,2019-09-08,2019-09-14,False,False,False,0.0,0,1.0
69,2019-09-14,2019-09-20,False,False,False,0.0,0,1.0
70,2019-09-20,2019-09-26,False,False,False,0.0,0,1.0
71,2019-09-26,2019-10-02,False,False,False,1.4449692168725008,1,0.20689655172413793
72,2019-10-02,2019-10-08,False,False,False,0.0,0,1.0
73,2019-10-08,2019-10-14,False,False,False,0.0,0,1.0
74,2019-10-14,2019-10-20,False,False,False,0.0,0,1.0
75,2019-10-20,2019-10-26,False,False,False,0.0,0,1.0
76,2019-10-26,2019-11-07,False,False,False,0.0,0,1.0
77,2019-11-07,2019-11-19,False,False,False,0.0,0,1.0
78,2019-11-19,2019-11-25,False,False,False,0.0,0,1.0
