interval_index,start_date,end_date,mid_date,duration_days,component,valid_targets,median_rate_native_per_day,q25_rate_native_per_day,q75_rate_native_per_day,median_pointwise_sigma_per_day,median_standardized_innovation,q90_abs_standardized_innovation
0,2017-05-27,2017-06-08,2017-06-02,12,epsilon_EE,428,8.256057786850755,-16.512724926326616,34.46674894824347,145.97022415921418,0.04645422257994725,0.4115516180466734
0,2017-05-27,2017-06-08,2017-06-02,12,epsilon_NN,428,-7.226082361989693,-150.1781546131636,120.28653592352617,839.262776553957,-0.005055762429696574,0.38702583491941533
0,2017-05-27,2017-06-08,2017-06-02,12,gamma_EN,428,-4.167760624783778,-141.84858483203078,153.06021218472318,846.529569289195,0.00994606211551029,0.4135518725526055
0,2017-05-27,2017-06-08,2017-06-02,12,dilatation,428,-7.9819855034671345,-138.54148331078264,134.46209196864984,856.0643721088343,-0.017381368270292963,0.35792258171711194
0,2017-05-27,2017-06-08,2017-06-02,12,rotation,428,-23.892101821222454,-107.83389935714204,55.54736506552764,423.2647846445975,-0.034719773182779884,0.40182430882277853
1,2017-06-08,2017-06-20,2017-06-14,12,epsilon_EE,428,-4.130753114219416,-48.90699028722187,30.456926971006894,145.97022415921418,-0.012306697834990672,0.6243350179899793
1,2017-06-08,2017-06-20,2017-06-14,12,epsilon_NN,428,24.36218763136823,-145.18276779059246,211.6293200556663,839.2628180879636,0.019263584084502267,0.5152330174330106
1,2017-06-08,2017-06-20,2017-06-14,12,gamma_EN,428,-7.46470523219395,-189.1727012503593,229.13830728441246,846.5295693228172,0.0,0.6148677297820562
1,2017-06-08,2017-06-20,2017-06-14,12,dilatation,428,19.88656516930501,-172.83282956363433,223.8878669401131,856.0643721088343,0.00513045633066414,0.5476626566964489
1,2017-06-08,2017-06-20,2017-06-14,12,rotation,428,31.057462122110373,-50.92193687927414,142.27663772755457,423.2647846614086,0.06765115533386355,0.5730067872603951
2,2017-06-20,2017-07-02,2017-06-26,12,epsilon_EE,428,5.127812823811369,-21.601119862004648,32.26575984403843,145.97022415921418,0.0006810626714071962,0.40536458440750067
2,2017-06-20,2017-07-02,2017-06-26,12,epsilon_NN,428,29.986086124711797,-93.02430177896888,165.25856305639059,839.2628586717074,0.01998038574227356,0.369961336913772
2,2017-06-20,2017-07-02,2017-06-26,12,gamma_EN,428,-2.8304936230137225,-156.58254662288599,169.60949106742595,846.5295693556707,0.010836614705252,0.4028477598119993
2,2017-06-20,2017-07-02,2017-06-26,12,dilatation,428,40.01632244488799,-96.09405433284091,168.79661681491393,856.0643721088343,0.02329675621756639,0.4136610019120289
2,2017-06-20,2017-07-02,2017-06-26,12,rotation,428,-6.573257798808308,-68.90241451162262,72.25078454910536,423.26478467783534,0.0,0.3833846276889351
3,2017-07-02,2017-07-14,2017-07-08,12,epsilon_EE,428,-1.9038454416169064,-25.88559176423868,24.731959601156387,145.97022415921418,-0.0008980252569234634,0.4067318964900323
3,2017-07-02,2017-07-14,2017-07-08,12,epsilon_NN,428,82.96383159110019,-19.82237755589018,184.6350147259723,839.2628983041774,0.07720468561136776,0.30747291415294503
